n_rows,n_duplicates,std,std_norm,std_abs,std_norm_abs,range,range_abs,mean,mean_abs,mean_norm,mean_norm_abs,mean_per_updates,mean_abs_per_updates,pow_2_mean_abs_per_updates,pow_3_mean_abs_per_updates,pow_4_mean_abs_per_updates,mean_abs_per_sqrt_updates,mean_abs_per_log_updates,mean_norm_per_updates,mean_norm_abs_per_updates
3000,96.7741935483871,1232.6833494454283,0.41089444981514284,1232.6833494454283,0.41089444981514284,2920,2920,-2288.4,2288.4,-0.7628,0.7628,-0.7628,0.7628,0.0002542666666666667,8.475555555555556e-08,2.8251851851851854e-11,41.78027668649407,285.8225007363249,-0.0002542666666666667,0.0002542666666666667
3000,272.72727272727275,938.1237604921857,0.31270792016406196,938.1237604921857,0.31270792016406196,2728,2728,-2540.9,2540.9,-0.8469666666666666,0.8469666666666666,-0.8469666666666666,0.8469666666666666,0.00028232222222222223,9.410740740740741e-08,3.1369135802469137e-11,46.39027487882922,317.3598986719664,-0.00028232222222222223,0.00028232222222222223
3000,750.0,913.2219007448299,0.30440730024827667,886.8225527127735,0.2956075175709245,3064,2976,-2695.6,2704.4,-0.8985333333333333,0.9014666666666666,-0.8985333333333333,0.9014666666666667,0.0003004888888888889,1.0016296296296296e-07,3.3387654320987653e-11,49.37536281723237,337.781144463956,-0.0002995111111111111,0.0003004888888888889
10000,1.0515247108307044,3542.8336173182056,0.35428336173182057,3524.0158001915943,0.3524015800191594,10100,9984,-1839.4,1875.2,-0.18394,0.18752,-0.18394000000000002,0.18752,1.8752e-05,1.8752e-09,1.8752e-13,18.752,203.59725311624445,-1.8394e-05,1.8752e-05
10000,1.1488970588235294,4263.977620719884,0.4263977620719883,4248.97106956496,0.424897106956496,10090,9960,-2542.5,2567.5,-0.25425,0.25675,-0.25425,0.25675,2.5675e-05,2.5675e-09,2.5675e-13,25.675,278.76277057164975,-2.5424999999999998e-05,2.5674999999999997e-05
10000,1.5649452269170578,4465.059160862262,0.4465059160862261,4433.1182377644745,0.44331182377644746,10184,9988,-3532.7,3572.7,-0.35327000000000003,0.35727000000000003,-0.35327,0.35727,3.5727e-05,3.5727e-09,3.5727e-13,35.727,387.9009738739369,-3.5327e-05,3.5727000000000005e-05
10000,3.1397174254317113,4685.898223393248,0.46858982233932484,4678.334340339518,0.4678334340339519,10066,9998,-4314.8,4323.0,-0.43148,0.4323,-0.43148000000000003,0.4323,4.323e-05,4.323e-09,4.323e-13,43.23,469.36376131693936,-4.3147999999999994e-05,4.3230000000000005e-05
10000,10.0,4928.4631062837425,0.49284631062837425,4922.0743706287085,0.49220743706287085,10036,9974,-5072.1,5078.3,-0.5072099999999999,0.50783,-0.50721,0.50783,5.0783000000000005e-05,5.0783000000000005e-09,5.078300000000001e-13,50.783,551.3694168623209,-5.072099999999999e-05,5.0783e-05
10000,29.940119760479043,4555.89369827699,0.45558936982769915,4555.89369827699,0.45558936982769915,9986,9986,-6007.1,6007.1,-0.60071,0.60071,-0.6007100000000001,0.6007100000000001,6.0071e-05,6.0071e-09,6.007100000000001e-13,60.071000000000005,652.212595560256,-6.0070999999999995e-05,6.0070999999999995e-05
10000,99.00990099009901,4337.6536099601135,0.43376536099601126,4330.375891305511,0.43303758913055107,10042,9996,-6854.6,6859.2,-0.68546,0.68592,-0.6854600000000001,0.68592,6.8592e-05,6.8592e-09,6.8592e-13,68.592,744.7281775676961,-6.854599999999999e-05,6.8592e-05
10000,294.11764705882354,4113.400082656682,0.41134000826566824,4113.400082656682,0.41134000826566824,9948,9948,-7547.6,7547.6,-0.75476,0.75476,-0.75476,0.75476,7.547600000000001e-05,7.5476e-09,7.5476e-13,75.476,819.4702579032459,-7.5476e-05,7.5476e-05
10000,909.0909090909091,3159.2318939894235,0.3159231893989424,3159.2318939894235,0.3159231893989424,9116,9116,-8458.8,8458.8,-0.84588,0.84588,-0.84588,0.84588,8.4588e-05,8.458799999999999e-09,8.458799999999999e-13,84.588,918.4025408808064,-8.4588e-05,8.4588e-05
30000,1.0510089686098654,7852.840922876255,0.2617613640958752,7828.958285749132,0.2609652761916378,30196,29960,-3245.2,3302.4,-0.10817333333333332,0.11008,-0.10817333333333333,0.11008,3.6693333333333336e-06,1.223111111111111e-10,4.077037037037037e-15,19.0664152897182,320.3429202471093,-3.605777777777777e-06,3.669333333333333e-06
30000,1.1575413821044103,10650.924115305676,0.35503080384352254,10616.406142852675,0.3538802047617558,30232,29966,-5494.7,5561.1,-0.1831566666666667,0.18536999999999998,-0.18315666666666666,0.18537,6.1790000000000005e-06,2.0596666666666667e-10,6.865555555555556e-15,32.10702581990428,539.4437420621971,-6.105222222222223e-06,6.179e-06
30000,1.5840329478853161,12688.435496939723,0.4229478498979908,12662.729928415909,0.42209099761386365,30208,29976,-8085.2,8125.4,-0.26950666666666667,0.2708466666666667,-0.26950666666666667,0.2708466666666667,9.028222222222222e-06,3.0094074074074074e-10,1.0031358024691358e-14,46.91201877273385,788.1887003924,-8.983555555555556e-06,9.028222222222222e-06
30000,3.155237694572991,13324.66844428033,0.44415561480934435,13313.121864912076,0.4437707288304026,30118,29974,-10672.5,10686.9,-0.35575,0.35623,-0.35575,0.35623,1.1874333333333333e-05,3.958111111111111e-10,1.3193703703703703e-14,61.70084591802612,1036.6620501419673,-1.1858333333333333e-05,1.1874333333333333e-05
30000,10.0,14027.488661909512,0.4675829553969839,14015.633130187163,0.4671877710062387,30116,29990,-13186.8,13199.4,-0.43956,0.43998,-0.43955999999999995,0.43998,1.4666e-05,4.888666666666667e-10,1.6295555555555554e-14,76.20677143141546,1280.3822497304066,-1.4652e-05,1.4666e-05
30000,29.97002997002997,14795.564794897151,0.4931854931632384,14795.564794897151,0.4931854931632384,29954,29954,-15206.0,15206.0,-0.5068666666666667,0.5068666666666667,-0.5068666666666667,0.5068666666666667,1.6895555555555556e-05,5.631851851851852e-10,1.8772839506172838e-14,87.79188193297449,1475.0285989818144,-1.6895555555555556e-05,1.6895555555555556e-05
